id,user,uid,version,changeset,timestamp
23234796,Sundance,239998,4,35972733,2015-12-15T18:24:36Z
23234798,Sundance,239998,3,35972733,2015-12-15T18:24:36Z
23234800,Sundance,239998,4,35972733,2015-12-15T18:24:36Z
23234807,Sundance,239998,5,35972733,2015-12-15T18:24:36Z
23234821,andrewpmk,1679,4,26753563,2014-11-13T11:06:47Z
23234824,andrewpmk,1679,4,26753563,2014-11-13T11:06:47Z
23234830,andrewpmk,1679,5,26753861,2014-11-13T11:24:08Z
23234858,Sundance,239998,8,35972733,2015-12-15T18:24:36Z
23234860,Sundance,239998,4,35972733,2015-12-15T18:24:37Z
23234861,xelloss,26616,4,395228,2008-07-04T17:38:46Z
23234876,andrewpmk,1679,3,26753563,2014-11-13T11:06:46Z
23234882,Sundance,239998,3,35972733,2015-12-15T18:24:37Z
23234892,Sundance,239998,3,35972733,2015-12-15T18:24:37Z
23234913,Sundance,239998,5,35972733,2015-12-15T18:24:37Z
23234915,Sundance,239998,8,35972733,2015-12-15T18:24:37Z
23234931,Sundance,239998,5,35972733,2015-12-15T18:24:37Z
23234933,xelloss,26616,3,395228,2008-07-04T17:39:40Z
23234987,Sundance,239998,5,35972733,2015-12-15T18:24:37Z
23235009,Sundance,239998,5,35972733,2015-12-15T18:24:38Z
23235010,andrewpmk,1679,4,26753563,2014-11-13T11:06:47Z
23235076,xelloss,26616,2,388222,2008-07-04T06:14:46Z
23235086,Sundance,239998,4,35972733,2015-12-15T18:24:38Z
23235184,Sundance,239998,4,35972733,2015-12-15T18:24:38Z
23235186,xelloss,26616,3,388222,2008-07-04T06:13:41Z
23235202,OSMF Redaction Account,722137,8,12305317,2012-07-19T02:36:47Z
23235230,user_5365,5365,5,4846116,2010-05-29T20:07:16Z
23235237,xelloss,26616,3,388222,2008-07-04T06:14:19Z
23235247,xelloss,26616,3,388222,2008-07-04T06:14:56Z
23235255,xelloss,26616,5,388222,2008-07-04T06:15:02Z
23235261,xelloss,26616,3,388222,2008-07-04T06:15:06Z
23235263,Sundance,239998,4,35972733,2015-12-15T18:24:39Z
23235288,GiJo,292736,4,44630500,2016-12-23T18:36:14Z
23235385,GiJo,292736,4,44373994,2016-12-13T15:04:43Z
23235390,bogdanp_telenav,4433679,12,45850051,2017-02-06T09:26:09Z
23235400,MuzikMachine,1820014,11,24690574,2014-08-11T23:11:08Z
23235533,flight780,2525040,4,36135776,2015-12-23T22:20:53Z
23235690,GiJo,292736,7,44373994,2016-12-13T15:04:45Z
23235695,andrewpmk,1679,8,26753990,2014-11-13T11:30:54Z
23235706,xelloss,26616,7,501936,2008-07-15T22:51:37Z
23235722,xelloss,26616,3,501936,2008-07-15T22:54:18Z
23235823,Yottabyte,312388,24,48114896,2017-04-25T08:17:06Z
23235835,Ranek,156121,7,16000751,2013-05-06T17:48:00Z
23235841,Yottabyte,312388,9,48114896,2017-04-25T08:17:07Z
23235846,flight780,2525040,9,41900119,2016-09-04T04:13:43Z
23235886,flight780,2525040,13,41900119,2016-09-04T04:13:47Z
23235911,flight780,2525040,13,41900119,2016-09-04T04:13:46Z
23235936,yegbin,3274426,17,40623408,2016-07-10T05:19:11Z
23235940,Yottabyte,312388,11,48114896,2017-04-25T08:17:06Z
23235958,flight780,2525040,12,41900119,2016-09-04T04:13:45Z
23236026,flight780,2525040,6,41900119,2016-09-04T04:13:44Z
23236035,flight780,2525040,8,41900119,2016-09-04T04:13:44Z
23236234,jdkrabbe,388969,17,45066790,2017-01-11T02:35:13Z
23236319,Sundance,239998,10,14008053,2012-11-24T03:46:52Z
23236383,ij_,139957,7,25298174,2014-09-08T01:25:08Z
23236692,miken32,230122,7,3810821,2010-02-07T04:20:58Z
23236707,xelloss,26616,3,3129131,2009-11-16T03:55:44Z
23236797,Sundance,239998,6,12116439,2012-07-05T04:05:17Z
23236822,sebastic,665748,4,47392042,2017-04-02T20:09:25Z
23236878,jdkrabbe,388969,16,45700634,2017-01-31T23:04:56Z
23236900,jdkrabbe,388969,17,45700634,2017-01-31T23:04:55Z
23237004,Mesowhite,3848955,22,44887932,2017-01-04T02:27:30Z
23237039,yegbin,3274426,15,42301841,2016-09-20T15:23:47Z
23237139,Feldo,454012,10,22530271,2014-05-24T19:32:17Z
23237145,yoltia,167781,13,23234634,2014-06-27T22:17:20Z
23237152,yoltia,167781,16,23234634,2014-06-27T22:17:21Z
23237160,Sundance,239998,13,15254354,2013-03-05T04:32:20Z
23237247,Feldo,454012,8,16777750,2013-07-01T13:16:01Z
23237259,yoltia,167781,15,23234634,2014-06-27T22:17:20Z
23237260,Sundance,239998,6,15254354,2013-03-05T04:32:20Z
23237265,Feldo,454012,9,16777750,2013-07-01T13:16:02Z
23237371,Mesowhite,3848955,10,44081368,2016-12-01T09:18:06Z
23237412,ionutr_telenav,4930407,19,46616507,2017-03-06T08:33:04Z
23237697,ionutr_telenav,4930407,22,45297534,2017-01-19T13:30:49Z
23237721,Feldo,454012,7,16780084,2013-07-01T16:37:20Z
23237728,yoltia,167781,17,23234634,2014-06-27T22:17:19Z
23237737,Feldo,454012,6,16672368,2013-06-23T16:45:55Z
23237748,Feldo,454012,5,16672368,2013-06-23T16:45:55Z
23237766,yegbin,3274426,7,34895862,2015-10-27T04:23:24Z
23237772,Feldo,454012,7,17293246,2013-08-10T16:41:17Z
23237777,Sundance,239998,6,15916593,2013-04-30T06:01:55Z
23237789,ptrchpmn,640246,6,11195722,2012-04-05T23:18:18Z
23237823,Sundance,239998,23,15903642,2013-04-29T05:23:41Z
23237956,xelloss,26616,2,445796,2008-07-09T15:42:10Z
